"","Year","N_ID","Pop","C_Rate","Ad_Ed","Child_Care","Com_House","Emp_Res","Sub_Trt","Trans_House","Recreation","Inflation","NIA"
"1",2014,97,11197.3333774508,"Very Low",0,0,0,0,0,0,0,1.91,0
"2",2014,27,25528.8877490689,"High",0,0,4,1,0,0,0,1.91,1
"3",2014,38,14298.6677529105,"Medium",0,0,0,1,0,0,0,1.91,0
"4",2014,31,13508.4438283393,"High",0,0,48,0,0,0,0,1.91,0
"5",2014,16,22787.5575665682,"Low",0,46,0,0,0,0,0,1.91,0
"6",2014,118,25097.7771136128,"Low",0,0,15,0,0,0,0,1.91,0
"7",2014,63,19590.2216995033,"Medium",0,0,26,0,0,0,0,1.91,0
"8",2014,3,9406.22189055884,"Medium",0,60,30,0,0,0,0,1.91,1
"9",2014,55,18666.6663805548,"Very Low",0,0,1,1,0,0,0,1.91,1
"10",2014,59,15581.3326919068,"Very Low",0,0,6,0,0,0,0,1.91,0
"11",2014,106,13134.2221607416,"Low",0,0,2,0,0,1,0,1.91,0
"12",2014,14,38276.4427878774,"Medium",0,57,5,0,0,0,0,1.91,0
"13",2014,66,8791.11137833681,"High",0,0,10,0,0,0,0,1.91,0
"14",2014,28,9095.99980541702,"Low",0,0,7,0,0,0,0,1.91,1
"15",2014,139,15287.1101656089,"Medium",0,0,3,0,0,0,0,1.91,1
"16",2014,85,20026.6673187703,"High",0,0,10,1,0,0,0,1.91,1
"17",2014,70,24898.6664842143,"High",0,0,85,0,0,0,0,1.91,0
"18",2014,40,16337.7777250357,"Low",0,0,19,0,0,0,0,1.91,0
"19",2014,61,14399.111437631,"Medium",0,0,4,0,0,0,0,1.91,1
"20",2014,21,11416.0002359954,"High",0,36,12,0,0,0,0,1.91,1
"21",2014,22,14387.5552031182,"High",0,38,6,0,0,0,0,1.91,1
"22",2014,133,12110.2220068516,"Low",0,0,0,0,0,0,0,1.91,0
"23",2014,75,28166.2235727262,"High",0,0,9,1,1,0,1,1.91,0
"24",2014,120,23960.0000768278,"High",0,0,8,0,0,1,0,1.91,0
"25",2014,123,14475.555811902,"High",1,0,15,0,0,0,0,1.91,0
"26",2014,44,20062.2211123543,"Very Low",0,0,51,0,0,0,0,1.91,1
"27",2014,92,12863.110179245,"Medium",0,0,6,0,0,0,0,1.91,0
"28",2014,125,12321.778109045,"Low",0,0,12,0,0,0,0,1.91,1
"29",2014,90,13114.666048299,"Medium",0,0,16,0,0,0,0,1.91,0
"30",2014,57,10592.8891282421,"Low",0,0,0,0,0,0,0,1.91,0
