"","Year","N_ID","Pop","C_Rate","Ad_Ed","Child_Care","Com_House","Emp_Res","Sub_Trt","Trans_House","Recreation","Inflation","NIA"
"78",2014,138,20892.4423879199,"Medium",0,0,12,0,0,0,1,1.91,1
"79",2014,5,8701.33271929573,"Low",0,33,14,0,0,0,0,1.91,1
"80",2014,129,27077.3329345626,"Very Low",0,0,0,0,0,0,0,1.91,0
"81",2014,128,21187.5560477069,"Medium",0,0,13,0,0,0,0,1.91,0
"82",2014,32,20366.2232981513,"Low",0,0,107,0,0,0,0,1.91,0
"83",2014,11,17057.7784350759,"Low",0,41,7,0,0,0,0,1.91,0
"84",2014,117,40621.3298314812,"Very Low",0,0,50,0,0,0,1,1.91,0
"85",2014,42,25008.888061126,"Low",0,0,1,2,0,0,2,1.91,0
"86",2014,34,14384.0002269399,"Low",0,0,16,0,1,0,0,1.91,0
"87",2014,20,10993.7774216126,"Low",0,40,1,0,0,0,0,1.91,0
"88",2014,72,9805.33354370784,"High",0,0,35,0,0,0,1,1.91,1
"89",2014,127,26760.0015742156,"High",0,0,8,1,0,0,0,1.91,0
"90",2014,122,20215.9999847174,"Medium",0,0,5,0,0,0,0,1.91,0
"91",2014,91,10545.7780824669,"Medium",0,0,30,0,0,0,0,1.91,1
"92",2014,26,32010.668389678,"High",0,0,4,1,0,0,0,1.91,1
"93",2014,114,7287.11189213609,"Low",0,0,20,0,0,0,0,1.91,0
"94",2014,76,21670.2217956022,"High",0,0,3,5,0,0,0,1.91,0
"95",2014,24,20058.6647968722,"High",0,36,40,0,0,0,1,1.91,1
"96",2014,51,44615.1056695537,"Very Low",0,0,17,0,0,0,0,1.91,0
"97",2014,37,14844.4432632509,"Very Low",0,0,2,0,0,0,0,1.91,0
"98",2014,131,42415.1114315809,"Low",0,0,0,0,0,0,0,1.91,0
"99",2014,2,30206.2219355715,"Medium",0,49,103,1,0,0,0,1.91,1
"100",2014,71,10903.9998055112,"High",0,0,50,1,0,0,3,1.91,0
"101",2014,99,15087.1107082695,"Very Low",0,0,2,0,0,0,0,1.91,0
"102",2014,104,27096.8869801538,"Very Low",0,0,11,1,0,0,1,1.91,0
