,Year,N_ID,Pop,C_Rate,Ad_Ed,Child_Care,Com_House,Emp_Res,Sub_Trt,Trans_House,Recreation,Inflation,NIA
65,2014,93,33129.779297503956,174.06293639575,0,0,24,0,0,0,0,1.91,0
66,2014,36,21612.444575451354,175.31051962499998,0,0,0,0,0,0,0,1.91,0
67,2014,82,25687.11204479083,204.166370875,0,0,6,0,1,0,0,1.91,0
68,2014,112,6016.000485036371,227.1719675,0,0,1,1,0,0,0,1.91,1
69,2014,88,20128.000708994514,98.812043860875,0,0,9,1,0,0,0,1.91,0
70,2014,87,21201.777754542953,114.77025,0,0,9,0,0,0,0,1.91,0
71,2014,134,11663.11060425367,145.75871375,0,0,0,0,0,0,0,1.91,0
72,2014,74,16966.22201960257,253.44475599999998,0,0,4,0,0,0,1,1.91,0
73,2014,121,12606.219431923413,290.86172,0,0,32,1,0,0,1,1.91,1
74,2014,98,19028.444431456344,164.0818425,0,0,1,0,0,0,1,1.91,0
75,2014,107,19417.776774676575,121.88144369612502,0,0,3,0,0,0,0,1.91,0
76,2014,119,25242.66754092763,245.615879936125,0,0,7,0,0,0,0,1.91,0
77,2014,138,20892.44238791989,188.26584562500003,0,0,12,0,0,0,1,1.91,1
78,2014,5,8701.332719295733,136.632965,0,33,14,0,0,0,0,1.91,1
79,2014,129,27077.332934562597,93.55918987500002,0,0,0,0,0,0,0,1.91,0
80,2014,128,21187.556047706857,177.7773075,0,0,13,0,0,0,0,1.91,0
81,2014,32,20366.223298151286,120.024435,0,0,107,0,0,0,0,1.91,0
82,2014,11,17057.77843507594,145.25794125000002,0,41,7,0,0,0,0,1.91,0
83,2014,117,40621.32983148119,94.64102875,0,0,50,0,0,0,1,1.91,0
84,2014,42,25008.888061125956,106.62875775,0,0,1,2,0,0,2,1.91,0
85,2014,34,14384.000226939905,129.00135749999998,0,0,16,0,1,0,0,1.91,0
86,2014,20,10993.777421612585,134.41947395375,0,40,1,0,0,0,0,1.91,0
87,2014,72,9805.333543707839,268.56132140687504,0,0,35,0,0,0,1,1.91,1
88,2014,127,26760.00157421562,213.41968516974998,0,0,8,1,0,0,0,1.91,0
89,2014,122,20215.999984717448,179.72563,0,0,5,0,0,0,0,1.91,0
90,2014,91,10545.778082466895,189.64935392725,0,0,30,0,0,0,0,1.91,1
91,2014,26,32010.668389677994,259.28855652000004,0,0,4,1,0,0,0,1.91,1
92,2014,114,7287.111892136091,115.88191,0,0,20,0,0,0,0,1.91,0
93,2014,76,21670.221795602163,488.1250352465,0,0,3,5,0,0,0,1.91,0
94,2014,24,20058.664796872228,224.34195125,0,36,40,0,0,0,1,1.91,1
95,2014,51,44615.105669553675,86.16912112499999,0,0,17,0,0,0,0,1.91,0
96,2014,37,14844.443263250889,104.79042749999999,0,0,2,0,0,0,0,1.91,0
